ID,Block/Item,Mod,Unlocalised name,Class
69,Block,Minecraft,tile.lever,net.minecraft.block.BlockLever
70,Block,Minecraft,tile.pressurePlate,net.minecraft.block.BlockPressurePlate
71,Block,Minecraft,tile.doorIron,net.minecraft.block.BlockDoor
72,Block,Minecraft,tile.pressurePlate,net.minecraft.block.BlockPressurePlate
73,Block,Minecraft,tile.oreRedstone,net.minecraft.block.BlockRedstoneOre
74,Block,Minecraft,tile.oreRedstone,net.minecraft.block.BlockRedstoneOre
75,Block,Minecraft,tile.notGate,net.minecraft.block.BlockRedstoneTorch
76,Block,Minecraft,tile.notGate,net.minecraft.block.BlockRedstoneTorch
77,Block,Minecraft,tile.button,net.minecraft.block.BlockButtonStone
78,Block,Minecraft,tile.snow,net.minecraft.block.BlockSnow
79,Block,Chisel,tile.ice,info.jbcs.minecraft.chisel.BlockMarbleIce
80,Block,Minecraft,tile.snow,net.minecraft.block.BlockSnowBlock
81,Block,Minecraft,tile.cactus,net.minecraft.block.BlockCactus
82,Block,Minecraft,tile.clay,net.minecraft.block.BlockClay
83,Block,Minecraft,tile.reeds,net.minecraft.block.BlockReed
84,Block,Minecraft,tile.jukebox,net.minecraft.block.BlockJukeBox
85,Block,Minecraft,tile.fence,mods.railcraft.common.blocks.tracks.BlockFenceReplacement
86,Block,Minecraft,tile.pumpkin,net.minecraft.block.BlockPumpkin
87,Block,Minecraft,tile.hellrock,net.minecraft.block.BlockNetherrack
88,Block,Minecraft,tile.hellsand,net.minecraft.block.BlockSoulSand
89,Block,Minecraft,tile.lightgem,net.minecraft.block.BlockGlowStone
90,Block,Minecraft,tile.portal,net.minecraft.block.BlockPortal
91,Block,Minecraft,tile.litpumpkin,net.minecraft.block.BlockPumpkin
92,Block,Minecraft,tile.cake,net.minecraft.block.BlockCake
93,Block,Minecraft,tile.diode,net.minecraft.block.BlockRedstoneRepeater
94,Block,Minecraft,tile.diode,net.minecraft.block.BlockRedstoneRepeater
95,Block,Minecraft,tile.lockedchest,net.minecraft.block.BlockLockedChest
96,Block,Minecraft,tile.trapdoor,net.minecraft.block.BlockTrapDoor
97,Block,Minecraft,tile.monsterStoneEgg,net.minecraft.block.BlockSilverfish
98,Block,Minecraft,tile.stonebricksmooth,mrtjp.projectred.exploration.BlockPhotosyntheticStoneBrick
99,Block,Minecraft,tile.mushroom,net.minecraft.block.BlockMushroomCap
100,Block,Minecraft,tile.mushroom,net.minecraft.block.BlockMushroomCap
101,Block,Minecraft,tile.fenceIron,net.minecraft.block.BlockPane
102,Block,MineFactoryReloaded,tile.thinGlass,powercrystals.minefactoryreloaded.block.BlockVanillaGlassPane
103,Block,Minecraft,tile.melon,net.minecraft.block.BlockMelon
104,Block,Minecraft,tile.pumpkinStem,net.minecraft.block.BlockStem
105,Block,Minecraft,tile.pumpkinStem,net.minecraft.block.BlockStem
106,Block,Minecraft,tile.vine,net.minecraft.block.BlockVine
107,Block,Minecraft,tile.fenceGate,net.minecraft.block.BlockFenceGate
108,Block,Minecraft,tile.stairsBrick,net.minecraft.block.BlockStairs
109,Block,Minecraft,tile.stairsStoneBrickSmooth,net.minecraft.block.BlockStairs
110,Block,Minecraft,tile.mycel,net.minecraft.block.BlockMycelium
111,Block,Minecraft,tile.waterlily,net.minecraft.block.BlockLilyPad
112,Block,Minecraft,tile.netherBrick,net.minecraft.block.Block
113,Block,Minecraft,tile.netherFence,net.minecraft.block.BlockFence
114,Block,Minecraft,tile.stairsNetherBrick,net.minecraft.block.BlockStairs
115,Block,Minecraft,tile.netherStalk,net.minecraft.block.BlockNetherStalk
116,Block,Minecraft,tile.enchantmentTable,net.minecraft.block.BlockEnchantmentTable
117,Block,Minecraft,tile.brewingStand,net.minecraft.block.BlockBrewingStand
118,Block,Minecraft,tile.cauldron,net.minecraft.block.BlockCauldron
119,Block,Minecraft,tile.null,net.minecraft.block.BlockEndPortal
120,Block,Minecraft,tile.endPortalFrame,net.minecraft.block.BlockEndPortalFrame
121,Block,Minecraft,tile.whiteStone,net.minecraft.block.Block
122,Block,Minecraft,tile.dragonEgg,chylex.hee.block.BlockDragonEggCustom
123,Block,RandomThings,tile.null,lumien.randomthings.Blocks.BlockColoredLamp
124,Block,RandomThings,tile.null,lumien.randomthings.Blocks.BlockColoredLamp
125,Block,Minecraft,tile.woodSlab,net.minecraft.block.BlockWoodSlab
126,Block,Minecraft,tile.woodSlab,net.minecraft.block.BlockWoodSlab
127,Block,Minecraft,tile.cocoa,net.minecraft.block.BlockCocoa
128,Block,Minecraft,tile.stairsSandStone,net.minecraft.block.BlockStairs
129,Block,Minecraft,tile.oreEmerald,net.minecraft.block.BlockOre
130,Block,Minecraft,tile.enderChest,net.minecraft.block.BlockEnderChest
131,Block,Minecraft,tile.tripWireSource,net.minecraft.block.BlockTripWireSource
132,Block,Minecraft,tile.tripWire,net.minecraft.block.BlockTripWire
133,Block,Minecraft,tile.blockEmerald,net.minecraft.block.BlockOreStorage
134,Block,Minecraft,tile.stairsWoodSpruce,net.minecraft.block.BlockStairs
135,Block,Minecraft,tile.stairsWoodBirch,net.minecraft.block.BlockStairs
136,Block,Minecraft,tile.stairsWoodJungle,net.minecraft.block.BlockStairs
137,Block,Minecraft,tile.commandBlock,net.minecraft.block.BlockCommandBlock
138,Block,Minecraft,tile.beacon,net.minecraft.block.BlockBeacon
139,Block,Minecraft,tile.cobbleWall,net.minecraft.block.BlockWall
140,Block,Minecraft,tile.flowerPot,net.minecraft.block.BlockFlowerPot
141,Block,Minecraft,tile.carrots,net.minecraft.block.BlockCarrot
142,Block,Minecraft,tile.potatoes,net.minecraft.block.BlockPotato
143,Block,Minecraft,tile.button,net.minecraft.block.BlockButtonWood
144,Block,Minecraft,tile.skull,net.minecraft.block.BlockSkull
145,Block,Minecraft,tile.anvil,net.minecraft.block.BlockAnvil
146,Block,Minecraft,tile.chestTrap,net.minecraft.block.BlockChest
147,Block,Minecraft,tile.weightedPlate_light,net.minecraft.block.BlockPressurePlateWeighted
148,Block,Minecraft,tile.weightedPlate_heavy,net.minecraft.block.BlockPressurePlateWeighted
149,Block,Minecraft,tile.comparator,net.minecraft.block.BlockComparator
150,Block,Minecraft,tile.comparator,net.minecraft.block.BlockComparator
151,Block,Minecraft,tile.daylightDetector,net.minecraft.block.BlockDaylightDetector
152,Block,RandomThings,tile.blockRedstone,lumien.randomthings.Blocks.BlockColoredRedstoneBlock
153,Block,Minecraft,tile.netherquartz,net.minecraft.block.BlockOre
154,Block,Minecraft,tile.hopper,net.minecraft.block.BlockHopper
155,Block,Minecraft,tile.quartzBlock,net.minecraft.block.BlockQuartz
156,Block,Minecraft,tile.stairsQuartz,net.minecraft.block.BlockStairs
157,Block,Minecraft,tile.activatorRail,net.minecraft.block.BlockRailPowered
158,Block,Minecraft,tile.dropper,net.minecraft.block.BlockDropper
159,Block,Minecraft,tile.clayHardenedStained,net.minecraft.block.BlockColored
170,Block,Minecraft,tile.hayBlock,net.minecraft.block.BlockHay
171,Block,Minecraft,tile.woolCarpet,net.minecraft.block.BlockCarpet
172,Block,Minecraft,tile.clayHardened,net.minecraft.block.Block
173,Block,Minecraft,tile.blockCoal,net.minecraft.block.Block
179,Block,BiomesOPlenty,tile.bop.flesh,biomesoplenty.blocks.BlockFlesh
180,Block,BiomesOPlenty,tile.bop.mud,biomesoplenty.blocks.BlockMud
181,Block,BiomesOPlenty,tile.bop.generic.dried_dirt,biomesoplenty.blocks.BlockBOPGeneric
182,Block,BiomesOPlenty,tile.bop.redRocks,biomesoplenty.blocks.BlockBOPRedRock
183,Block,BiomesOPlenty,tile.bop.ash,biomesoplenty.blocks.BlockAsh
184,Block,BiomesOPlenty,tile.bop.generic.ash_stone,biomesoplenty.blocks.BlockBOPGeneric
185,Block,BiomesOPlenty,tile.bop.generic.hard_ice,biomesoplenty.blocks.BlockBOPGeneric
186,Block,BiomesOPlenty,tile.bop.originGrass,biomesoplenty.blocks.BlockOriginGrass
187,Block,BiomesOPlenty,tile.bop.generic.hard_sand,biomesoplenty.blocks.BlockBOPGeneric
188,Block,BiomesOPlenty,tile.bop.generic.hard_dirt,biomesoplenty.blocks.BlockBOPGeneric
191,Block,BiomesOPlenty,tile.bop.holyStone,biomesoplenty.blocks.BlockBOPSkystone
192,Block,BiomesOPlenty,tile.bop.generic.crag_rock,biomesoplenty.blocks.BlockBOPGeneric
193,Block,BiomesOPlenty,tile.bop.longGrass,biomesoplenty.blocks.BlockLongGrass
194,Block,BiomesOPlenty,tile.bop.generic.holy_dirt,biomesoplenty.blocks.BlockBOPGeneric
195,Block,BiomesOPlenty,tile.bop.holyGrass,biomesoplenty.blocks.BlockBOPGrass
196,Block,emashercore,tile.redSandstone,emasher.core.block.BlockRedSandstone
197,Block,emashercore,tile.mixedsand,emasher.core.block.BlockMixedSand
198,Block,emashercore,tile.mixedDirt,emasher.core.block.BlockMixedDirt
199,Block,emashercore,tile.normalCube,emasher.core.block.BlockNormalCube
200,Block,emashercore,tile.limestone,emasher.core.block.BlockLimestone
201,Block,Natura,tile.HeatSand,mods.natura.blocks.nether.HeatSand
202,Block,Natura,tile.TaintedSoil,mods.natura.blocks.nether.TaintedSoil
251,Block,ChickenChunks,tile.chickenChunkLoader,codechicken.chunkloader.BlockChunkLoader
252,Block,EnderStorage,tile.enderchest,codechicken.enderstorage.common.BlockEnderStorage
256,Block,Minecraft,tile.ForgeFiller,null
257,Block,Minecraft,tile.ForgeFiller,null
258,Block,Minecraft,tile.ForgeFiller,null
259,Block,Minecraft,tile.ForgeFiller,null
260,Block,Minecraft,tile.ForgeFiller,null
261,Block,Minecraft,tile.ForgeFiller,null
262,Block,Minecraft,tile.ForgeFiller,null
263,Block,Minecraft,tile.ForgeFiller,null
264,Block,Minecraft,tile.ForgeFiller,null
265,Block,Minecraft,tile.ForgeFiller,null
266,Block,Minecraft,tile.ForgeFiller,null
267,Block,Minecraft,tile.ForgeFiller,null
268,Block,Minecraft,tile.ForgeFiller,null
269,Block,Minecraft,tile.ForgeFiller,null
270,Block,Minecraft,tile.ForgeFiller,null
271,Block,Minecraft,tile.ForgeFiller,null
272,Block,Minecraft,tile.ForgeFiller,null
273,Block,Minecraft,tile.ForgeFiller,null
274,Block,Minecraft,tile.ForgeFiller,null
275,Block,Minecraft,tile.ForgeFiller,null
276,Block,Minecraft,tile.ForgeFiller,null
277,Block,Minecraft,tile.ForgeFiller,null
278,Block,Minecraft,tile.ForgeFiller,null
279,Block,Minecraft,tile.ForgeFiller,null
280,Block,Minecraft,tile.ForgeFiller,null
281,Block,Minecraft,tile.ForgeFiller,null
282,Block,Minecraft,tile.ForgeFiller,null
283,Block,Minecraft,tile.ForgeFiller,null
284,Block,Minecraft,tile.ForgeFiller,null
285,Block,Minecraft,tile.ForgeFiller,null
286,Block,Minecraft,tile.ForgeFiller,null
287,Block,Minecraft,tile.ForgeFiller,null
288,Block,Minecraft,tile.ForgeFiller,null
289,Block,Minecraft,tile.ForgeFiller,null
290,Block,Minecraft,tile.ForgeFiller,null
291,Block,Minecraft,tile.ForgeFiller,null
292,Block,Minecraft,tile.ForgeFiller,null
293,Block,Minecraft,tile.ForgeFiller,null
294,Block,Minecraft,tile.ForgeFiller,null
295,Block,Minecraft,tile.ForgeFiller,null
296,Block,Minecraft,tile.ForgeFiller,null
297,Block,Minecraft,tile.ForgeFiller,null
298,Block,Minecraft,tile.ForgeFiller,null
299,Block,Minecraft,tile.ForgeFiller,null
300,Block,Minecraft,tile.ForgeFiller,null
301,Block,Minecraft,tile.ForgeFiller,null
302,Block,Minecraft,tile.ForgeFiller,null
303,Block,Minecraft,tile.ForgeFiller,null
304,Block,Minecraft,tile.ForgeFiller,null
305,Block,Minecraft,tile.ForgeFiller,null
306,Block,Minecraft,tile.ForgeFiller,null
307,Block,Minecraft,tile.ForgeFiller,null
308,Block,Minecraft,tile.ForgeFiller,null
309,Block,Minecraft,tile.ForgeFiller,null
310,Block,Minecraft,tile.ForgeFiller,null
311,Block,Minecraft,tile.ForgeFiller,null
312,Block,Minecraft,tile.ForgeFiller,null
313,Block,Minecraft,tile.ForgeFiller,null
314,Block,Minecraft,tile.ForgeFiller,null
315,Block,Minecraft,tile.ForgeFiller,null
316,Block,Minecraft,tile.ForgeFiller,null
317,Block,Minecraft,tile.ForgeFiller,null
318,Block,Minecraft,tile.ForgeFiller,null
319,Block,Minecraft,tile.ForgeFiller,null
320,Block,Minecraft,tile.ForgeFiller,null
321,Block,Minecraft,tile.ForgeFiller,null
322,Block,Minecraft,tile.ForgeFiller,null
323,Block,Minecraft,tile.ForgeFiller,null
324,Block,Minecraft,tile.ForgeFiller,null
325,Block,Minecraft,tile.ForgeFiller,null
326,Block,Minecraft,tile.ForgeFiller,null
327,Block,Minecraft,tile.ForgeFiller,null
328,Block,Railcraft,tile.ForgeFiller,null
329,Block,Minecraft,tile.ForgeFiller,null
330,Block,Minecraft,tile.ForgeFiller,null
331,Block,Minecraft,tile.ForgeFiller,null
332,Block,Minecraft,tile.ForgeFiller,null
333,Block,Minecraft,tile.ForgeFiller,null
334,Block,Minecraft,tile.ForgeFiller,null
335,Block,MineFactoryReloaded,tile.ForgeFiller,null
336,Block,Minecraft,tile.ForgeFiller,null
337,Block,Minecraft,tile.ForgeFiller,null
338,Block,Minecraft,tile.ForgeFiller,null
339,Block,Minecraft,tile.ForgeFiller,null
340,Block,Minecraft,tile.ForgeFiller,null
341,Block,Minecraft,tile.ForgeFiller,null
342,Block,Railcraft,tile.ForgeFiller,null
343,Block,Railcraft,tile.ForgeFiller,null
344,Block,Minecraft,tile.ForgeFiller,null
345,Block,Minecraft,tile.ForgeFiller,null
346,Block,Minecraft,tile.ForgeFiller,null
347,Block,Minecraft,tile.ForgeFiller,null
348,Block,Minecraft,tile.ForgeFiller,null
349,Block,Minecraft,tile.ForgeFiller,null
350,Block,Minecraft,tile.ForgeFiller,null
351,Block,Minecraft,tile.ForgeFiller,null
352,Block,Minecraft,tile.ForgeFiller,null
353,Block,Minecraft,tile.ForgeFiller,null
354,Block,Minecraft,tile.ForgeFiller,null
355,Block,Minecraft,tile.ForgeFiller,null
356,Block,Minecraft,tile.ForgeFiller,null
357,Block,Minecraft,tile.ForgeFiller,null
358,Block,Minecraft,tile.ForgeFiller,null
359,Block,Minecraft,tile.ForgeFiller,null
360,Block,Minecraft,tile.ForgeFiller,null
361,Block,Minecraft,tile.ForgeFiller,null
362,Block,Minecraft,tile.ForgeFiller,null
363,Block,Minecraft,tile.ForgeFiller,null
364,Block,Minecraft,tile.ForgeFiller,null
365,Block,Minecraft,tile.ForgeFiller,null
366,Block,Minecraft,tile.ForgeFiller,null
367,Block,Minecraft,tile.ForgeFiller,null
368,Block,Minecraft,tile.ForgeFiller,null
369,Block,Minecraft,tile.ForgeFiller,null
370,Block,Minecraft,tile.ForgeFiller,null
371,Block,Minecraft,tile.ForgeFiller,null
372,Block,Minecraft,tile.ForgeFiller,null
373,Block,Minecraft,tile.ForgeFiller,null
374,Block,Minecraft,tile.ForgeFiller,null
375,Block,Minecraft,tile.ForgeFiller,null
376,Block,Minecraft,tile.ForgeFiller,null
377,Block,Minecraft,tile.ForgeFiller,null
378,Block,Minecraft,tile.ForgeFiller,null
379,Block,Minecraft,tile.ForgeFiller,null
380,Block,Minecraft,tile.ForgeFiller,null
381,Block,Minecraft,tile.ForgeFiller,null
382,Block,Minecraft,tile.ForgeFiller,null
383,Block,Minecraft,tile.ForgeFiller,null
384,Block,Minecraft,tile.ForgeFiller,null
385,Block,Minecraft,tile.ForgeFiller,null
386,Block,Minecraft,tile.ForgeFiller,null
387,Block,Minecraft,tile.ForgeFiller,null
388,Block,Minecraft,tile.ForgeFiller,null
389,Block,Minecraft,tile.ForgeFiller,null
390,Block,Minecraft,tile.ForgeFiller,null
391,Block,Minecraft,tile.ForgeFiller,null
392,Block,Minecraft,tile.ForgeFiller,null
393,Block,Minecraft,tile.ForgeFiller,null
394,Block,Minecraft,tile.ForgeFiller,null
395,Block,Minecraft,tile.ForgeFiller,null
396,Block,Minecraft,tile.ForgeFiller,null
397,Block,Minecraft,tile.ForgeFiller,null
398,Block,Minecraft,tile.ForgeFiller,null
399,Block,Minecraft,tile.ForgeFiller,null
400,Block,Minecraft,tile.ForgeFiller,null
401,Block,Minecraft,tile.ForgeFiller,null
402,Block,Minecraft,tile.ForgeFiller,null
403,Block,Minecraft,tile.ForgeFiller,null
404,Block,Minecraft,tile.ForgeFiller,null
405,Block,Minecraft,tile.ForgeFiller,null
406,Block,Minecraft,tile.ForgeFiller,null
407,Block,Railcraft,tile.ForgeFiller,null
408,Block,Minecraft,tile.ForgeFiller,null
417,Block,Minecraft,tile.ForgeFiller,null
418,Block,Minecraft,tile.ForgeFiller,null
419,Block,Minecraft,tile.ForgeFiller,null
420,Block,Minecraft,tile.ForgeFiller,null
421,Block,Minecraft,tile.ForgeFiller,null
450,Block,Railcraft,tile.railcraft.detector,mods.railcraft.common.blocks.detector.BlockDetector
451,Block,Railcraft,tile.railcraft.machine.alpha,mods.railcraft.common.blocks.machine.BlockMachine
452,Block,Railcraft,tile.railcraft.machine.beta,mods.railcraft.common.blocks.machine.BlockMachine
453,Block,Railcraft,tile.railcraft.machine.gamma,mods.railcraft.common.blocks.machine.BlockMachine
454,Block,Railcraft,tile.railcraft.track,mods.railcraft.common.blocks.tracks.BlockTrack
455,Block,Railcraft,tile.railcraft.track.elevator,mods.railcraft.common.blocks.tracks.BlockTrackElevator
456,Block,Railcraft,tile.railcraft.signal,mods.railcraft.common.blocks.signals.BlockSignal
457,Block,Railcraft,tile.railcraft.cube,mods.railcraft.common.blocks.aesthetics.cube.BlockCube
458,Block,Railcraft,tile.railcraft.ore,mods.railcraft.common.blocks.ore.BlockOre
459,Block,Railcraft,tile.railcraft.post,mods.railcraft.common.blocks.aesthetics.post.BlockPost
460,Block,Railcraft,tile.railcraft.post.metal,mods.railcraft.common.blocks.aesthetics.post.BlockPostMetal
461,Block,Railcraft,tile.railcraft.wall.alpha,mods.railcraft.common.blocks.aesthetics.wall.BlockRailcraftWall
462,Block,Railcraft,tile.railcraft.worldlogic,mods.railcraft.common.blocks.ore.BlockWorldLogic
463,Block,Railcraft,tile.railcraft.wall.beta,mods.railcraft.common.blocks.aesthetics.wall.BlockRailcraftWall
464,Block,Railcraft,tile.railcraft.stair,mods.railcraft.common.blocks.aesthetics.stairs.BlockRailcraftStairs
465,Block,Railcraft,tile.railcraft.slab,mods.railcraft.common.blocks.aesthetics.slab.BlockRailcraftSlab
466,Block,Railcraft,tile.railcraft.brick.abyssal,mods.railcraft.common.blocks.aesthetics.brick.BlockBrick
467,Block,Railcraft,tile.railcraft.brick.infernal,mods.railcraft.common.blocks.aesthetics.brick.BlockBrick
468,Block,Railcraft,tile.railcraft.brick.bloodstained,mods.railcraft.common.blocks.aesthetics.brick.BlockBrick
469,Block,Railcraft,tile.railcraft.brick.sandy,mods.railcraft.common.blocks.aesthetics.brick.BlockBrick
470,Block,Railcraft,tile.railcraft.brick.bleachedbone,mods.railcraft.common.blocks.aesthetics.brick.BlockBrick
471,Block,Railcraft,tile.railcraft.brick.quarried,mods.railcraft.common.blocks.aesthetics.brick.BlockBrick
472,Block,Railcraft,tile.railcraft.brick.frostbound,mods.railcraft.common.blocks.aesthetics.brick.BlockBrick
474,Block,Railcraft,tile.railcraft.glass,mods.railcraft.common.blocks.aesthetics.glass.BlockStrengthGlass
475,Block,Railcraft,tile.railcraft.brick.nether,mods.railcraft.common.blocks.aesthetics.brick.BlockBrick.BlockNetherBrick
477,Block,Railcraft,tile.block.firestone.recharge,mods.railcraft.common.items.firestone.BlockFirestoneRecharge
478,Block,Railcraft,tile.railcraft.block.anvil,mods.railcraft.common.blocks.anvil.BlockRCAnvil
479,Block,Railcraft,tile.railcraft.stonelamp,mods.railcraft.common.blocks.aesthetics.lamp.BlockStoneLamp
480,Block,Railcraft,tile.railcraft.post.metal.platform,mods.railcraft.common.blocks.aesthetics.post.BlockPostMetal
490,Block,Railcraft,tile.railcraft.block.fluid.creosote,mods.railcraft.common.fluids.BlockRailcraftFluid
491,Block,Railcraft,tile.railcraft.block.fluid.steam,mods.railcraft.common.fluids.BlockRailcraftFluidFinite
500,Block,Mariculture,tile.oreBlocks,mariculture.core.blocks.BlockOre
501,Block,Mariculture,tile.utilBlocks,mariculture.core.blocks.BlockUtil
502,Block,Mariculture,tile.customBlocks,mariculture.core.blocks.BlockSingle
503,Block,Mariculture,tile.doubleBlocks,mariculture.core.blocks.BlockDouble
504,Block,Mariculture,tile.oysterBlock,mariculture.core.blocks.BlockOyster
505,Block,Mariculture,tile.siftBlock,mariculture.fishery.blocks.BlockSift
512,Block,Mariculture,tile.lampsOn,mariculture.fishery.blocks.BlockNeonLamp
513,Block,Mariculture,tile.lampsOff,mariculture.fishery.blocks.BlockNeonLamp
514,Block,Mariculture,tile.pearlBrick,mariculture.core.blocks.BlockPearlBrick
515,Block,Mariculture,tile.glassBlocks,mariculture.core.blocks.BlockGlass
516,Block,Mariculture,tile.coral,mariculture.world.BlockCoral
517,Block,Mariculture,tile.airBlocks,mariculture.core.blocks.BlockAir
520,Block,Mariculture,tile.customFlooring,mariculture.factory.blocks.BlockCustomFlooring
521,Block,Mariculture,tile.customBlock,mariculture.factory.blocks.BlockCustomBlock
522,Block,Mariculture,tile.customStairs,mariculture.factory.blocks.BlockCustomStairs
523,Block,Mariculture,tile.customSlabs,mariculture.factory.blocks.BlockCustomSlab
524,Block,Mariculture,tile.customSlabsDouble,mariculture.factory.blocks.BlockCustomSlab
525,Block,Mariculture,tile.customFence,mariculture.factory.blocks.BlockCustomFence
526,Block,Mariculture,tile.customGate,mariculture.factory.blocks.BlockCustomGate
527,Block,Mariculture,tile.customWall,mariculture.factory.blocks.BlockCustomWall
528,Block,Mariculture,tile.customLight,mariculture.factory.blocks.BlockCustomLight
545,Block,Mariculture,tile.highPressureWater,mariculture.core.blocks.BlockFluidMari
550,Block,Mariculture,tile.customRFBlock,mariculture.factory.blocks.BlockCustomPower
556,Block,Mariculture,tile.woodBlocks,mariculture.core.blocks.BlockWood
557,Block,Mariculture,tile.tankBlocks,mariculture.core.blocks.BlockTank
558,Block,Mariculture,tile.groundBlocks,mariculture.core.blocks.BlockGround
568,Block,Mariculture,tile.transparentBlocks,mariculture.core.blocks.BlockTransparent
580,Block,OpenPeripheral,tile.openperipheral.glassesbridge,openperipheral.addons.glasses.BlockGlassesBridge
581,Block,OpenPeripheral,tile.openperipheral.peripheralproxy,openperipheral.addons.peripheralproxy.BlockPeripheralProxy
582,Block,OpenPeripheral,tile.openperipheral.playerinventory,openperipheral.addons.pim.BlockPIM
583,Block,OpenPeripheral,tile.openperipheral.ticketmachine,openperipheral.addons.ticketmachine.BlockTicketMachine
584,Block,OpenPeripheral,tile.openperipheral.sensor,openperipheral.addons.sensors.BlockSensor
